id,State,Abbr,Uninsured,DoctorNeed
1,Alabama,AL,12.1,17.4
2,Alaska,AK,17.2,11.9
3,Arizona,AZ,13.6,15.5
4,Arkansas,AR,11.8,18.2
5,California,CA,12.4,13.5
6,Colorado,CO,10.3,13.1
7,Connecticut,CT,6.9,11.3
8,Delaware,DE,7.8,10.8
9,District of Columbia,DC,5.3,10.5
10,Florida,FL,16.6,17.6
11,Georgia,GA,15.8,19
12,Hawaii,HI,5.3,8.7
13,Idaho,ID,13.6,15.8
14,Illinois,IL,9.7,12.4
15,Indiana,IN,11.9,15.1
16,Iowa,IA,6.2,8.8
17,Kansas,KS,10.2,12.5
18,Kentucky,KY,8.5,15.9
19,Louisiana,LA,14.8,17.5
20,Maine,ME,10.1,10.9
21,Maryland,MD,7.9,10.1
22,Massachusetts,MA,3.3,8.3
23,Michigan,MI,8.5,14.6
24,Minnesota,MN,5.9,9.2
25,Mississippi,MS,14.5,19.4
26,Missouri,MO,11.7,13.7
27,Montana,MT,14.2,11.9
28,Nebraska,NE,9.7,11.8
29,Nevada,NV,15.2,17.3
30,New Hampshire,NH,9.2,11.1
31,New Jersey,NJ,10.9,14
32,New Mexico,NM,14.5,17.2
33,New York,NY,8.7,14
34,North Carolina,NC,13.1,16.2
35,North Dakota,ND,7.9,7
36,Ohio,OH,8.4,13.1
37,Oklahoma,OK,15.4,15
38,Oregon,OR,9.7,14.4
39,Pennsylvania,PA,8.5,11.8
40,Rhode Island,RI,7.4,11.9
41,South Carolina,SC,13.6,18.1
42,South Dakota,SD,9.8,10
43,Tennessee,TN,12,15.5
44,Texas,TX,19.1,17.6
45,Utah,UT,12.5,14.3
46,Vermont,VT,5,9.1
47,Virginia,VA,10.9,13.1
48,Washington,WA,9.2,12.3
49,West Virginia,WV,8.6,16.5
50,Wisconsin,WI,7.3,10.6
51,Wyoming,WY,12,11.8
52,Puerto Rico,PR,6.1,12.2
